"sensor_id","sensor_model","datetime","temp_c","roof_colour","trap_style","trap_id"
"A4000000103C4153","DS1925",2026-05-06 23:35:20,9.5,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-06 23:40:20,9.5,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-06 23:45:20,9.5,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-06 23:50:20,9,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-06 23:55:20,9,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-07 00:00:20,9,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-07 00:05:20,9,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-07 00:10:20,9,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-07 00:15:20,9,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-07 00:20:20,9,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-07 00:25:20,9,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-07 00:30:20,9,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-07 00:35:20,9,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-07 00:40:20,9,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-07 00:45:20,9,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-07 00:50:20,9,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-07 00:55:20,9,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-07 01:00:20,9,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-07 01:05:20,9,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-07 01:10:20,8.5,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-07 01:15:20,8.5,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-07 01:20:20,8.5,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-07 01:25:20,8.5,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-07 01:30:20,8.5,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-07 01:35:20,8.5,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-07 01:40:20,8.5,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-07 01:45:20,8,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-07 01:50:20,8,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-07 01:55:20,8,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-07 02:00:20,8,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-07 02:05:20,8,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-07 02:10:20,8,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-07 02:15:20,8,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-07 02:20:20,7.5,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-07 02:25:20,7.5,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-07 02:30:20,7.5,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-07 02:35:20,7.5,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-07 02:40:20,7.5,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-07 02:45:20,7.5,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-07 02:50:20,7.5,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-07 02:55:20,7,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-07 03:00:20,7,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-07 03:05:20,7,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-07 03:10:20,7,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-07 03:15:20,7,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-07 03:20:20,7,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-07 03:25:20,7,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-07 03:30:20,6.5,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-07 03:35:20,6.5,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-07 03:40:20,6.5,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-07 03:45:20,6.5,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-07 03:50:20,6.5,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-07 03:55:20,6.5,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-07 04:00:20,6.5,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-07 04:05:20,6.5,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-07 04:10:20,6.5,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-07 04:15:20,6.5,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-07 04:20:20,6.5,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-07 04:25:20,6,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-07 04:30:20,6,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-07 04:35:20,6,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-07 04:40:20,6,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-07 04:45:20,6,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-07 04:50:20,6,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-07 04:55:20,6,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-07 05:00:20,6,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-07 05:05:20,6,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-07 05:10:20,5.5,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-07 05:15:20,5.5,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-07 05:20:20,5.5,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-07 05:25:20,5.5,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-07 05:30:20,5.5,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-07 05:35:20,5.5,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-07 05:40:20,5,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-07 05:45:20,5,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-07 05:50:20,5,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-07 05:55:20,5,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-07 06:00:20,5,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-07 06:05:20,5,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-07 06:10:20,5,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-07 06:15:20,4.5,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-07 06:20:20,4.5,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-07 06:25:20,4.5,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-07 06:30:20,5,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-07 06:35:20,5,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-07 06:40:20,5,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-07 06:45:20,5,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-07 06:50:20,5,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-07 06:55:20,5,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-07 07:00:20,5,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-07 07:05:20,5,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-07 07:10:20,5,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-07 07:15:20,5,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-07 07:20:20,5,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-07 07:25:20,5.5,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-07 07:30:20,5.5,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-07 07:35:20,5.5,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-07 07:40:20,5.5,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-07 07:45:20,5.5,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-07 07:50:20,5.5,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-07 07:55:20,5.5,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-07 08:00:20,5.5,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-07 08:05:20,5.5,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-07 08:10:20,5.5,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-07 08:15:20,5.5,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-07 08:20:20,6,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-07 08:25:20,6,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-07 08:30:20,6,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-07 08:35:20,6,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-07 08:40:20,6.5,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-07 08:45:20,6.5,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-07 08:50:20,6.5,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-07 08:55:20,7,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-07 09:00:20,7,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-07 09:05:20,7,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-07 09:10:20,7,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-07 09:15:20,7.5,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-07 09:20:20,7.5,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-07 09:25:20,8,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-07 09:30:20,8,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-07 09:35:20,8.5,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-07 09:40:20,8.5,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-07 09:45:20,9,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-07 09:50:20,9.5,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-07 09:55:20,9.5,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-07 10:00:20,10,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-07 10:05:20,10.5,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-07 10:10:20,10.5,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-07 10:15:20,11,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-07 10:20:20,11,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-07 10:25:20,11.5,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-07 10:30:20,11.5,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-07 10:35:20,12,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-07 10:40:20,12,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-07 10:45:20,12,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-07 10:50:20,12,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-07 10:55:20,12,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-07 11:00:20,12,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-07 11:05:20,12.5,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-07 11:10:20,12.5,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-07 11:15:20,13,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-07 11:20:20,13,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-07 11:25:20,13,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-07 11:30:20,13,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-07 11:35:20,13.5,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-07 11:40:20,14,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-07 11:45:20,14,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-07 11:50:20,14.5,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-07 11:55:20,15,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-07 12:00:20,15,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-07 12:05:20,15.5,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-07 12:10:20,16,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-07 12:15:20,16.5,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-07 12:20:20,16.5,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-07 12:25:20,16.5,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-07 12:30:20,16.5,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-07 12:35:20,16.5,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-07 12:40:20,16.5,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-07 12:45:20,16.5,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-07 12:50:20,16.5,"t","r","pilot1"
